年度,國家,品項,類別,重量,價值
104,US," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",I,16,26
104,PK," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",I,56,4
104,IN," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",I,20,1
104,CN," Cinnamon and cinnamon-tree flowers, crushed or ground",I,"115,281","3,491"
104,JP," Cinnamon and cinnamon-tree flowers, crushed or ground",I,82,40
104,IL," Cinnamon and cinnamon-tree flowers, crushed or ground",I,27,14
104,ID," Cinnamon and cinnamon-tree flowers, crushed or ground",I,"48,571","1,445"
104,IN," Cinnamon and cinnamon-tree flowers, crushed or ground",I,"1,750",273
104,ES," Cinnamon and cinnamon-tree flowers, crushed or ground",I,67,41
104,US," Cinnamon and cinnamon-tree flowers, crushed or ground",I,"1,435",370
104,GB," Cinnamon and cinnamon-tree flowers, crushed or ground",I,47,49
104,MY," Cinnamon and cinnamon-tree flowers, crushed or ground",I,"1,200",301
104,LK," Cinnamon and cinnamon-tree flowers, crushed or ground",I,400,220
104,VN," Cinnamon and cinnamon-tree flowers, crushed or ground",I,"51,483","5,945"
104,IT," Cinnamon and cinnamon-tree flowers, crushed or ground",I,55,66
104,DE," Cinnamon and cinnamon-tree flowers, crushed or ground",I,11,40
104,CN," Cloves (whole fruit, cloves and stems), neither crushed nor ground",I,"12,352",614
104,ID," Cloves (whole fruit, cloves and stems), neither crushed nor ground",I,"99,804","3,340"
104,IN," Cloves (whole fruit, cloves and stems), neither crushed nor ground",I,1,1
104,ES," Cloves (whole fruit, cloves and stems), neither crushed nor ground",I,14,13
104,US," Cloves (whole fruit, cloves and stems), neither crushed nor ground",I,0,2
104,GB," Cloves (whole fruit, cloves and stems), neither crushed nor ground",I,24,41
104,MY," Cloves (whole fruit, cloves and stems), neither crushed nor ground",I,"2,156",619
104,MG," Cloves (whole fruit, cloves and stems), neither crushed nor ground",I,"74,077","9,051"
104,LK," Cloves (whole fruit, cloves and stems), neither crushed nor ground",I,"5,640",398
104,IT," Cloves (whole fruit, cloves and stems), neither crushed nor ground",I,3,4
104,KM," Cloves (whole fruit, cloves and stems), neither crushed nor ground",I,"1,948",252
104,US," Cloves (whole fruit, cloves and stems), crushed or ground",I,181,135
104,MY," Cloves (whole fruit, cloves and stems), crushed or ground",I,100,130
104,MG," Cloves (whole fruit, cloves and stems), crushed or ground",I,"1,000",459
104,LK," Cloves (whole fruit, cloves and stems), crushed or ground",I,100,24
104,TR," Seeds of anise, neither crushed nor ground",I,"1,000",117
104,CN," Seeds of anise, neither crushed nor ground",I,"262,608","15,231"
104,US," Seeds of anise, neither crushed nor ground",I,11,13
104,VN," Seeds of anise, neither crushed nor ground",I,"8,250",384
104,IT," Seeds of anise, neither crushed nor ground",I,32,43
104,TR," Seeds of anise, crushed or ground",I,20,24
104,CN," Seeds of anise, crushed or ground",I,"50,120","3,516"
104,US," Seeds of anise, crushed or ground",I,181,49
104,MY," Seeds of anise, crushed or ground",I,10,2
104,VN," Seeds of anise, crushed or ground",I,"4,376",329
104,DE," Seeds of anise, crushed or ground",I,4,17
104,IR, Saffron,I,"1,306","22,176"
104,ES, Saffron,I,"2,695","21,684"
104,PT, Saffron,I,364,"10,669"
104,CN, Saffron,I,"19,013","8,337"
104,IT, Saffron,I,27,625
104,GR, Saffron,I,0,41
104,FR, Saffron,I,1,18
104,US, Saffron,I,0,13
104,IN, Saffron,I,0,12
104,CN, Turmeric (curcuma),I,"127,144","4,994"
104,PK, Turmeric (curcuma),I,"1,825",117
104,JP, Turmeric (curcuma),I,460,591
104,IL, Turmeric (curcuma),I,30,14
104,ID, Turmeric (curcuma),I,"28,195",588
104,IN, Turmeric (curcuma),I,"266,430","15,454"
104,US, Turmeric (curcuma),I,738,902
104,TH, Turmeric (curcuma),I,"1,339",347
104,MY, Turmeric (curcuma),I,"21,600","1,253"
104,LK, Turmeric (curcuma),I,"1,719",308
104,VN, Turmeric (curcuma),I,"4,380",271
104,IT, Turmeric (curcuma),I,86,86
104,MM, Turmeric (curcuma),I,509,31
104,AU, Turmeric (curcuma),I,216,352
104,CN, Mustard seeds,I,4,122
104,CA, Mustard seeds,I,139,"5,891"
104,IN, Mustard seeds,I,5,121
104,CN," Huo Ma Jen (Cannabis Fructus) for Chinese medicine use, without germinative activeness",I,13,"1,456"
104,CN," Other Huo Ma Jen (Cannabis Fructus), without germinative activeness",I,52,992
104,CN," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)",I,"406,433","554,629"
104,KP," Radix ginseng rubra (Korea) (incl. fibrous roots, stems, broken ginseng)",I,"4,176","46,661"
104,KR," Radix ginseng rubra (Korea) (incl. fibrous roots, stems, broken ginseng)",I,"28,935","275,059"
104,KR," Radix ginseng alba (Korea) (incl. fibrous roots, stems, broken ginseng)",I,"34,447","65,542"
104,JP," Radix ginseng rubra (Japan) (incl. fibrous roots, stems, broken ginseng)",I,712,733
104,JP," Radix ginseng alba (Japan) (incl. fibrous roots, stems, broken ginseng)",I,815,923
104,CN, Pao Shen (American ginseng),I,"1,200","2,945"
104,CA, Pao Shen (American ginseng),I,"24,011","53,482"
104,US, Pao Shen (American ginseng),I,"2,810","31,088"
104,CA," Pao Shen Wei, Hsu, I Chung Shen (Radix ginseng)",I,"84,359","171,789"
104,US," Pao Shen Wei, Hsu, I Chung Shen (Radix ginseng)",I,725,"1,042"
104,CN," I Chung Shen Wei, Hsu (ginseng radix)",I,108,251
104,CA," I Chung Shen Wei, Hsu (ginseng radix)",I,"11,289","18,101"
104,CN, Tien Ch'i (Radix Pseudoginseng),I,"103,744","28,288"
104,CN, Yuan Ch'i Wei (Radicis Pseudoginseng),I,"3,173",460
104,CN, Other ginseng roots,I,60,108
104,KR, Other ginseng roots,I,"3,386","8,757"
104,CN, Sandalwood,I,"19,020",303
104,ID, Sandalwood,I,150,2
104,NC, Sandalwood,I,"26,340","4,383"
104,VU, Sandalwood,I,"2,700",37
104,AU, Sandalwood,I,"408,887","11,799"
104,ID, Ch'en Hsiang (Lignum Aqailariae),I,"430,778","60,829"
104,MY, Ch'en Hsiang (Lignum Aqailariae),I,"64,915","19,238"
104,VN, Ch'en Hsiang (Lignum Aqailariae),I,"34,532","12,596"
104,TH, Ch'en Hsiang (Lignum Aqailariae),I,"463,671","10,828"
104,CN, Tu Chung (Cortex Eucommiae),I,"349,296","20,600"
104,CN, P'o Tu'ng (Cortex Magnoliae),I,"17,616","1,135"
104,CN," P'o Ken, p'o Hua (Cortex Magnoliae)",I,"1,148",81
104,CN, Fan Hsieh Yeh (Folium Sennae),I,"9,562",347
104,JP, Fan Hsieh Yeh (Folium Sennae),I,600,158
104,ID, Fan Hsieh Yeh (Folium Sennae),I,"2,000",19
104,IN, Fan Hsieh Yeh (Folium Sennae),I,"88,092","2,229"
104,CN, Pai Ts'ao (Folium Agastaches),I,"13,629","1,513"
104,CN, T'u Fu Ling (Rhizoma Similacis Glabrae),I,"25,158","1,705"
104,CN," China root, P'ing P'ien (Poria)",I,"643,104","49,537"
104,CN," China root, Ch'ieh P'ien Szu (Poria)",I,"170,761","9,679"
104,CN," Fang Fu Ling, Fu Shen, P'i Fu Ling (Poria)",I,"23,285","2,758"
104,CN, Ta Huang (Rhizoma Rhei),I,"228,283","22,851"
104,JP, Ta Huang (Rhizoma Rhei),I,490,179
104,CN, Huang Lien (Rhizoma Coptidis),I,"147,039","40,179"
104,CN, Ch'uan Kung (Rhizoma Ligustici Wallichii),I,"696,425","53,377"
104,CN, Pai Chu (Rhizoma Atractylodis Macrocephalae),I,"394,102","31,722"
104,CN," Hey, Pai Fu P'ien Hsiao Hy Fu P'ien (Rhizoma Typhonii)",I,"46,498","15,687"
104,CN, P'ei Fu P'ien (Rhizoma Typhonii),I,"32,605","7,384"
104,CN, Wo Shu (Rhizoma Zedoariae),I,"19,106","1,065"
104,CN, Kao Liang Chiang (Rhizoma Alpiniae Officinari),I,"49,342","2,296"
104,TH, Kao Liang Chiang (Rhizoma Alpiniae Officinari),I,"18,270",576
104,CN, Pan Hsia (Tuber Pinelliae),I,"235,716","110,675"
104,CN, T'ien Ma (Rhizoma Gastrodiae),I,"65,121","11,245"
104,CN, Chih Mu (Rhizoma Anemarrhenae),I,"70,598","4,448"
104,CN, Niu Hsi (Achyranthis Radix) Ch'uan Niu T'ou Tu Niu Ch'i (Radix Cyathulae),I,"190,925","12,100"
104,CN, Yin Ch'ai Hu (Radix Stellariae Dichatomae),I,92,42
104,CN, Ch'ai Hu (Radix Bupleuri),I,"297,853","149,728"
104,CN, Pai Shau (Radix Paeonige Alba),I,"665,963","48,456"
104,CN, Tai Chi (Radix Euphorbiae),I,31,38
104,CN, Huang Ch'in (Radix Scutellariae),I,"278,688","25,595"
104,CN, Tan Shen (Radix Salvia Multiorrhiza),I,"141,820","10,124"
104,CN, Hsuan Sheng (Yuang Sheng) (Radix Scrophulariae),I,"69,640","3,942"
104,CN, Pei Sa Sheng (Radix Glehniae),I,"47,726","3,422"
104,CN, Ti Huang (Radix et Rhizoma Rehmanniae),I,"824,799","42,784"
104,CN, Huang Chi (Radix Astragali),I,"1,957,722","184,127"
104,CN, I T'iao Ken (Radix Moghaniae),I,"48,731","1,612"
104,CN, Fang Feng (Radix Ledebouriellae),I,"124,309","58,646"
104,CN, Tang K'uei (Radix Angelicae Sinensis),I,"1,258,413","147,890"
104,CN, Tang Sheng (Codonopsitis Pilosulae Radix),I,"555,168","85,422"
104,CN," Putchuck, old (Radix Saussureae)",I,"5,000",460
104,CN, Chi Kuan Hua (Flos Celosiae Cristatae),I,728,33
104,CN, Hsin I (Flos Magnoliae Liliforae),I,"35,562","5,709"
104,CN, Suan Tsao Jen (Semen Zizyphi Spinosae),I,"134,550","56,416"
104,CN, Erh Ch'a (Catechu),I,"1,314",26
104,ID, Erh Ch'a (Catechu),I,"65,086","5,883"
104,IN, Erh Ch'a (Catechu),I,"5,040",50
104,CN, Lo Han Kuo (Momordicae Fructus),I,"53,054","6,626"
104,CN, Ta Fu P'i (Pericarpium Arecae),I,"18,631",609
104,CN," Betelnuts, dried (Ta-Fu-Tzu)",I,"3,749",194
104,ID," Betelnuts, dried (Ta-Fu-Tzu)",I,"3,000",25
104,IN," Betelnuts, dried (Ta-Fu-Tzu)",I,"3,000",28
104,CN, Liquorice roots,I,"1,128,050","107,058"
104,PK, Liquorice roots,I,"299,090","18,349"
104,UZ, Liquorice roots,I,"262,105","15,919"
104,KG, Liquorice roots,I,"33,430","2,119"
104,AF, Liquorice roots,I,"20,290","1,653"
104,DE, Liquorice roots,I,"2,497",544
104,ES, Liquorice roots,I,5,3
104,BT," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,1,100
104,CN," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,"8,969,807","925,602"
104,PY," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,350,73
104,PK," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,"313,035","14,312"
104,JP," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,"5,949","4,500"
104,IR," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,504,316
104,ID," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,"81,802","6,083"
104,IN," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,"1,957,750","78,316"
104,ES," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,350,373
104,BG," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,"2,693",23
104,US," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,300,867
104,TH," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,"78,765","3,983"
104,VN," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,"63,283","3,208"
104,LA," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,120,1
104,DE," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,"1,172",175
104,MA," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried",I,"2,500",720
104,CN, Myrrh gum,I,"39,722","11,614"
104,CN, Olibanum gum,I,"22,922","1,554"
104,CN, Gum asafoetida,I,180,5
104,CN, Dragon's-blood gum,I,"1,920",377
104,ID, Dragon's-blood gum,I,"1,300",247
104,SG, Dragon's-blood gum,I,700,141
104,CN, Shen Chu,I,"19,352","2,183"
104,CN," Natural arsenic sulphides (hartall orpiment and realgar) and amber (including agglomerated), crushed, for medicinal use",I,"6,772",285
104,CN," Medicinal substances, mineral, crude",I,"179,168","2,729"
104,CN," Borneol, champhor baroos",I,"22,791","3,080"
104,JP," Borneol, champhor baroos",I,580,370
104,ID," Borneol, champhor baroos",I,120,36
104,IN," Borneol, champhor baroos",I,0,3
104,HK," Borneol, champhor baroos",I,216,222
104,CH," Borneol, champhor baroos",I,0,1
104,CN," Hominis placenta, dried",I,435,25
104,CN, A Chiao (Corii Asini Colla),I,"51,556","61,457"
104,CN," Other gingers, neither crushed nor ground",I,"158,072","9,777"
104,JP," Other gingers, neither crushed nor ground",I,20,11
104,ID," Other gingers, neither crushed nor ground",I,"92,930","5,078"
104,IN," Other gingers, neither crushed nor ground",I,9,2
104,TH," Other gingers, neither crushed nor ground",I,"2,368",217
104,PE," Other gingers, neither crushed nor ground",I,"5,000",669
104,MY," Other gingers, neither crushed nor ground",I,500,48
104,CN," Other gingers, crushed or ground",I,40,1
104,JP," Other gingers, crushed or ground",I,97,56
104,ID," Other gingers, crushed or ground",I,27,5
104,IN," Other gingers, crushed or ground",I,29,46
104,US," Other gingers, crushed or ground",I,17,41
104,GB," Other gingers, crushed or ground",I,34,68
104,TH," Other gingers, crushed or ground",I,"27,470","13,219"
104,MY," Other gingers, crushed or ground",I,"1,010",244
104,LK," Other gingers, crushed or ground",I,317,87
104,VN," Other gingers, crushed or ground",I,"25,650",393
104,LA," Other gingers, crushed or ground",I,"3,550",113
104,DE," Other gingers, crushed or ground",I,"5,300","1,537"
104,CN, Tse Pei Mu (Bulbus Fritillariae Thunbergii),I,"106,576","20,430"
104,CN, Sheng Tien Hsiung (Rhizoma Typhonii),I,625,16
104,SG," Wood ears (Auricularia spp.) , dried",O,"1,666",574
104,CA," Wood ears (Auricularia spp.) , dried",O,586,541
104,US," Wood ears (Auricularia spp.) , dried",O,902,395
104,JP," Wood ears (Auricularia spp.) , dried",O,"1,237",317
104,HK," Wood ears (Auricularia spp.) , dried",O,406,206
104,CN," Wood ears (Auricularia spp.) , dried",O,116,185
104,SA," Wood ears (Auricularia spp.) , dried",O,250,148
104,MY," Wood ears (Auricularia spp.) , dried",O,224,109
104,TH," Wood ears (Auricularia spp.) , dried",O,61,98
104,AU," Wood ears (Auricularia spp.) , dried",O,93,91
104,MU," Wood ears (Auricularia spp.) , dried",O,120,49
104,PW," Wood ears (Auricularia spp.) , dried",O,200,46
104,CL," Wood ears (Auricularia spp.) , dried",O,70,36
104,BR," Wood ears (Auricularia spp.) , dried",O,84,35
104,SZ," Wood ears (Auricularia spp.) , dried",O,120,32
104,AR," Wood ears (Auricularia spp.) , dried",O,50,29
104,NZ," Wood ears (Auricularia spp.) , dried",O,66,22
104,LS," Wood ears (Auricularia spp.) , dried",O,92,17
104,AE," Wood ears (Auricularia spp.) , dried",O,35,11
104,ZA," Wood ears (Auricularia spp.) , dried",O,31,10
104,CI," Wood ears (Auricularia spp.) , dried",O,50,10
104,BN," Wood ears (Auricularia spp.) , dried",O,48,9
104,BD," Wood ears (Auricularia spp.) , dried",O,22,9
104,FJ," Wood ears (Auricularia spp.) , dried",O,26,9
104,GU," Wood ears (Auricularia spp.) , dried",O,5,8
104,MO," Wood ears (Auricularia spp.) , dried",O,1,2
104,BE, Lily bulb dried,O,4,2
104,US, Lily bulb dried,O,10,7
104,US," Yam, dried",O,566,644
104,ZA," Yam, dried",O,504,36
104,BN," Yam, dried",O,22,12
104,MY," Yam, dried",O,16,7
104,MH," Yam, dried",O,6,2
104,SG," Yam, fresh or chilled",O,600,87
104,AU," Yam, fresh or chilled",O,26,7
104,HK," Yam, fresh or chilled",O,30,2
104,BR," Lotus seeds, fresh or dried",O,377,196
104,US," Lotus seeds, fresh or dried",O,532,179
104,HK," Lotus seeds, fresh or dried",O,349,89
104,CA," Lotus seeds, fresh or dried",O,494,72
104,SG," Lotus seeds, fresh or dried",O,138,37
104,AU," Lotus seeds, fresh or dried",O,55,33
104,NZ," Lotus seeds, fresh or dried",O,72,29
104,MY," Lotus seeds, fresh or dried",O,59,28
104,CR," Lotus seeds, fresh or dried",O,33,9
104,CN," Lotus seeds, fresh or dried",O,14,2
104,BD," Lotus seeds, fresh or dried",O,3,1
104,CN," Wu Mei (Fructus Mume Praeparatus), dried, in bulk",O,333,39
104,CA," Wu Mei (Fructus Mume Praeparatus), dried, in bulk",O,36,7
104,US," Wu Mei (Fructus Mume Praeparatus), dried, in bulk",O,202,175
104,US," Crataegi Fructus, dried",O,"1,132",512
104,CN," Crataegi Fructus, dried",O,"1,925",291
104,MY," Crataegi Fructus, dried",O,488,112
104,ID," Crataegi Fructus, dried",O,94,15
104,ZA," Crataegi Fructus, dried",O,47,9
104,CA," Crataegi Fructus, dried",O,47,7
104,BE," Cardamoms(Amomi Fructus), inferior, crushed or ground",O,10,11
104,US," Cardamoms(Amomi Fructus), inferior, crushed or ground",O,6,8
104,NL," Cardamoms(Amomi Fructus), inferior, crushed or ground",O,6,7
104,PW," Seeds of cumin, neither crushed nor ground",O,1,2
104,MY," Seeds of cumin, neither crushed nor ground",O,20,12
104,HK," Seeds of cumin, crushed or ground",O,105,70
104,PW," Star anise fructus, neither crushed nor ground",O,5,2
104,ZA," Star anise fructus, neither crushed nor ground",O,7,4
104,HK," Star anise fructus, neither crushed nor ground",O,9,4
104,CL," Star anise fructus, neither crushed nor ground",O,14,10
104,SG," Star anise fructus, neither crushed nor ground",O,7,5
104,AU," Star anise fructus, neither crushed nor ground",O,20,18
104,CN," Star anise fructus, crushed or ground",O,17,8
104,KH," Star anise fructus, crushed or ground",O,4,6
104,US," Star anise fructus, crushed or ground",O,268,191
104,CL," Star anise fructus, crushed or ground",O,18,4
104,LS," Star anise fructus, crushed or ground",O,29,3
104,US, Polygonati Rhizoma,O,5,5
104,MY, Polygonati Rhizoma,O,11,5
104,NL, Polygonati Rhizoma,O,28,19
104,SG, Gou Chi T'zu (Fructus Llycii),O,"1,060",267
104,CA, Gou Chi T'zu (Fructus Llycii),O,115,149
