中文,英文
排草, Pai Ts'ao (Folium Agastaches)
半夏, Pan Hsia (Tuber Pinelliae)
泡參, Pao Shen (American ginseng)
泡參尾、鬚、移種參," Pao Shen Wei, Hsu, I Chung Shen (Radix ginseng)"
中藥用珍珠碎或珍珠末," Pearls crushed or powder, for medical use"
中藥用珍珠, Pearls for medical use
焙附片, P'ei Fu P'ien (Rhizoma Typhonii)
北沙參, Pei Sa Sheng (Radix Glehniae)
薄荷，新鮮或乾燥," Peppermint,fresh or dried."
鱉甲殼（包括中藥用）, Pieh Chia K'o (Amydae carapax) (incl. for Chinese drugs)
朴根，朴花," P'o Ken, p'o Hua (Cortex Magnoliae)"
朴筒, P'o Tu'ng (Cortex Magnoliae)
黃精, Polygonati Rhizoma
老木香," Putchuck, old (Radix Saussureae)"
日本白參（包括參鬚、參蒂、碎參）," Radix ginseng alba (Japan) (incl. fibrous roots, stems, broken ginseng)"
高麗白參（包括參鬚、參蒂、碎參）," Radix ginseng alba (Korea) (incl. fibrous roots, stems, broken ginseng)"
日本紅參（包括參鬚、參蒂、碎參）," Radix ginseng rubra (Japan) (incl. fibrous roots, stems, broken ginseng)"
高麗紅參（包括參鬚、參蒂、碎參）," Radix ginseng rubra (Korea) (incl. fibrous roots, stems, broken ginseng)"
紅棗乾（包括中藥用者）," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)"
番紅花, Saffron
檀香, Sandalwood
大茴香子，壓碎或研磨者," Seeds of anise, crushed or ground"
大茴香子，未壓碎或未研磨者," Seeds of anise, neither crushed nor ground"
小茴香子，壓碎或研磨者," Seeds of cumin, crushed or ground"
小茴香子，未壓碎或未研磨者," Seeds of cumin, neither crushed nor ground"
神麴, Shen Chu
生夭雄, Sheng Tien Hsiung (Rhizoma Typhonii)
水蛭, Shui Chih (Hirudo)
殭蠶（包括中藥用）, Silkworm (incl. for Chinese drugs)
八角茴香，壓碎或研磨者," Star anise fructus, crushed or ground"
八角茴香，未壓碎或未研磨者," Star anise fructus, neither crushed nor ground"
酸棗仁, Suan Tsao Jen (Semen Zizyphi Spinosae)
大腹皮, Ta Fu P'i (Pericarpium Arecae)
大黃, Ta Huang (Rhizoma Rhei)
大戟, Tai Chi (Radix Euphorbiae)
丹參, Tan Shen (Radix Salvia Multiorrhiza)
當歸, Tang K'uei (Radix Angelicae Sinensis)
黨參, Tang Sheng (Codonopsitis Pilosulae Radix)
地黃, Ti Huang (Radix et Rhizoma Rehmanniae)
地龍（地龍干）, Ti Lung (Lumbricus)
田七, Tien Ch'i (Radix Pseudoginseng)
天麻, T'ien Ma (Rhizoma Gastrodiae)
龜殼，龜板（包括中藥用）," Tortoise shell, Terrapin plastron (incl. for Chinese drugs)"
淅貝母, Tse Pei Mu (Bulbus Fritillariae Thunbergii)
杜仲, Tu Chung (Cortex Eucommiae)
土茯苓, T'u Fu Ling (Rhizoma Similacis Glabrae)
薑黃（鬱金）, Turmeric (curcuma)
莪朮, Wo Shu (Rhizoma Zedoariae)
乾木耳﹝木耳屬﹞," Wood ears (Auricularia spp.) , dried"
五穀蟲（蛆）, Wu Ko Chung (Chrysomyiae Larva)
烏梅乾，散裝," Wu Mei (Fructus Mume Praeparatus), dried, in bulk"
山藥，乾," Yam, dried"
山藥，生鮮或冷藏," Yam, fresh or chilled"
山藥，冷凍," Yam, frozen"
銀柴胡, Yin Ch'ai Hu (Radix Stellariae Dichatomae)
原七尾, Yuan Ch'i Wei (Radicis Pseudoginseng)
